Society,Award Type,Year,Award Winner,Training Level,Gender,,,Gender Key,Award Category Key,Training Level
COS,4,2016 (3rd-poster),Yogesh Patodia,4,1,,,,,
COS,4,2015 (1st-paper),Manjool Shah,1,1,,,,,
COS,4,2015 (2nd-paper),Julie Morin,1,2,,,,,
COS,4,2015 (3rd-paper),Gary Yau,1,1,,,,,
COS,4,2015 (1st-poster),Raageen Kanjee,1,1,,,,,
COS,4,2015 (2nd-poster),Adrian C. Tsang,4,1,,,,,
COS,4,2015 (3rd-poster),Wendy (Wan) Wang,4,2,,,,,
COS,4,2014 (1st-paper),Yufeng (Nancy) Chen,4,2,,,,,
COS,4,2014 (2nd-paper),Joshua Teichman,1,1,,,,,
COS,4,2014 (3rd-paper),Yiannis Iordanous,1,1,,,,,
COS,4,2014 (1st-poster),Caitlin Chang,4,,,,,,
COS,4,2014 (2nd-poster),Vasudha Gupta,1,2,,,,,
COS,4,2014 (3rd-poster),Swati Chavda,,,,,,,
COS,4,2013 (1st-paper),Talal Alabduljalil,1,,,,,,
COS,4,2013 (2nd-paper),Stephen Dorrepaal,1,1,,,,,
COS,4,2013 (3rd-paper),Nawaaz Nathoo,1,1,,,,,
COS,4,2013 (1st-poster),Stephanie Kletke,4,2,,,,,
COS,4,2013 (2nd-poster),Jay Ching-Chieh Wang,4,1,,,,,
COS,4,2013 (3rd-poster),Victoria Leung,4,2,,,,,
COS,4,2012 (1st-abstract),David Almeida,1,1,,,,,
COS,4,2012 (2nd-abstract),Vivian Yin,1,2,,,,,
COS,4,2012 (3rd-abstract),Laura Beltran-Agullo,5,,,,,,
COS,4,2012 (1st-poster),Weerawat Kiddee,1,,,,,,
COS,4,2012 (2nd-poster),M. Nour Haydari,1,1,,,,,
COS,4,2012 (3rd-poster),Radwan Ajlan,1,1,,,,,
COS,4,2011 (1st-abstract),Alexandre S. Reis,3,,,,,,
COS,4,2011 (2nd-abstract),Jason Noble,1,1,,,,,
COS,4,2011 (3rd-abstract),Bethany Durling,4,2,,,,,
COS,4,2011 (1st-poster),Kailun Jiang,4,2,,,,,
COS,4,2011 (2nd-poster),Jamil Jivraj,1,1,,,,,
COS,4,2011 (3rd-poster),Sheila A. Marco,1,,,,,,
COS,4,2010 (1st-abstract),Dean T. Jeffery,4,,,,,,
COS,4,2010 (2nd-abstract),Hannah Chiu,4,2,,,,,
COS,4,2010 (3rd-abstract),Toby Chan,1,1,,,,,
COS,4,2010 (1st-poster),Stephanie Proulx,2,2,,,,,
COS,4,2010 (2nd-poster),Toby Chan,1,1,,,,,
COS,4,2010 (3rd-poster),Boram Hong,4,2,,,,,
COS,4,2009 (1st),Kay Lam,1,2,,,,,
COS,4,2009 (2nd),Kenman Gan,1,1,,,,,
COS,4,2009 (3rd),Corey Smith,2,,,,,,
COS,4,2008 (1st),Jason Blair,1,1,,,,,
COS,4,2008 (2nd),Darana Yuen,1,2,,,,,
COS,4,2008 (3rd),Tariq A. Alasbali,1,,,,,,
COS,4,2007 (1st),Farzin Forooghian,1,1,,,,,
COS,4,2007 (2nd),Feisal Adatia,1,1,,,,,
COS,4,2007 (3rd),David Almeida,3,1,,,,,
COS,4,2006 (1st),Rajeev Muni,1,1,,,,,
COS,4,2006 (2nd),Alexander Tan,1,1,,,,,
COS,4,2006 (3rd),Jovina See,1,2,,,,,
COS,4,2005 (1st),Varun Chaudhary,1,1,,,,,
COS,4,2005 (2nd),Farzin Forooghian,1,1,,,,,
COS,4,2005 (3rd),Natasha Yepes,1,2,,,,,
COS,4,2004 (1st),Alain Proulx,1,1,,,,,
COS,4,2004 (2nd),Hussein Hollands,1,1,,,,,
COS,4,2004 (3rd),Robert J. Campbell,1,1,,,,,
COS,4,2003 (1st),Khalid Hasanne,1,1,,,,,
COS,4,2003 (2nd),Lesya Shuba,1,2,,,,,
COS,4,2003 (3rd),Anthony M. Carlsson,1,1,,,,,
COS,4,2002 (1st),Bernard R. Hurley,1,1,,,,,
COS,4,2002 (2nd),Kupura Krishnadev,4,,,,,,
COS,4,2002 (3rd),Robert Campbell,1,1,,,,,
COS,4,2001 (1st),Geoff A. Bellingham,1,1,,,,,
COS,4,2001 (2nd),Hussein Hollands,1,1,,,,,
COS,4,2001 (3rd),Toni Nemeh,1,,,,,,
COS,4,2000 (1st),Ali F. Hafez,1,1,,,,,
COS,4,2000 (2nd),Tara A. Young,1,2,,,,,
COS,4,2000 (3rd),Michael C. Johnson,1,1,,,,,
COS,4,1999 (1st),Michael Altaweel,1,1,,,,,
COS,4,1999 (2nd),Sanjay K. Gupta,1,1,,,,,
COS,4,1999 (3rd),Rajinder S. Rathee,1,1,,,,,
COS,4,1998 (1st),Carolyn Anderson,1,2,,,,,
COS,4,1998 (2nd),Anthony Carlsson,1,1,,,,,
COS,4,1998 (3rd),Ike Ahmed,1,1,,,,,
COS,4,1997 (1st),Michele Mabon,1,,,,,,
COS,4,1997 (2nd),Sanjay Sharma,1,1,,,,,
COS,4,1997 (3rd),Rosa Braga-Mele,1,2,,,,,
COS,4,1996 (1st),Edward Yu,1,1,,,,,
COS,4,1996 (2nd),Saeed Al-Yami,1,1,,,,,
COS,4,1996 (3rd),Matthew Lee-Wing,1,1,,,,,
COS,4,1995 (1st),Leland Dhurjon,1,1,,,,,
COS,4,1995 (2nd),Shane Munro,1,1,,,,,
COS,4,1995 (3rd),Peter Kertes,1,1,,,,,
COS,4,2021,Tina Felfeli,1,2,,,,,
COS,4,2020,Henry Liu,1,1,,,,,
COS,4,2019,"Maria Elena Montpetit Gonzalez, MD, FEBO",1,2,,,,,
COS,4,2018,Fatma Zaguia,1,2,,,,,
COS,4,2017,Victoria C. Leung,1,2,,,,,
COS,4,2016,Harrish Nithianandan,?,1,,,,,
COS,4,2015,Hermina Strungaru,1,2,,,,,
COS,4,2014,Uri Elbaz,1,1,,,,,
COS,4,2013,Julia C. Talajic,1,2,,,,,
COS,4,2012,Gregory Moloney,5,1,,,,,
COS,4,2011,Julia Baryla,1,2,,,,,
COS,4,2010,Toby Chan,1,1,,,,,
COS,4,2021,Francis Price Jr.,1,1,,,,,
COS,4,2019,Donald T.H. Tan,5,1,,,,,
COS,4,2018,Soosan Jacob,5,2,,,,,
COS,4,2017,Damien Gatinel,1,1,,,,,
COS,4,2016,Rajesh Fogla,1,1,,,,,
COS,4,2015,Harminder Singh Dua,5,1,,,,,
COS,4,2014,M. Bowes Hamill,1,,,,,,
COS,4,2013,Sheraz M. Daya,5,1,,,,,
COS,4,2012,Anthony J. Aldave,1,1,,,,,
COS,4,2011,Donald T.H. Tan,5,1,,,,,
COS,4,2010,Jesus Merayo,3,1,,,,,
COS,4,2009,Steven E. Wilson,1,1,,,,,
COS,4,2008,Terrence P. O’Brien,1,1,,,,,
COS,4,2007,"Eduardo Alfonso,",1,1,,,,,
COS,4,2006,Mark Mannis,1,1,,,,,
COS,4,2005,Peter R. Laibson,1,1,,,,,
COS,4,2004,Terrence P. O’Brien,1,1,,,,,
COS,4,2003,Hélène Boisjoly,1,2,,,,,
COS,3,2016,Chandra Sankurathri,2,1,,,,,
CGS,3,2018,Graham E. Trope,3,1,,,,,
CGS,3,2016,Gordon Douglas,1,1,,,,,
CGS,4,2020,James J. Armstrong ,3,1,,,,,
CGS,4,2019,Saba Samet,1,2,,,,,
CGS,4,2018,Bill (Runjie) Shi,4,,,,,,
CGS,4,2017,Matthew Schlenker,1,1,,,,,
CGS,4,2016,Nicholas Ault,4,1,,,,,
CGS,4,2015,Edward Moss,1,1,,,,,
CGS,4,2013,Yiannis Lordanous,1,1,,,,,
CGS,4,2020,Carter W. Lim,1,1,,,,,
CGS,4,2020,Nikoleta Tellios,5,2,,,,,
CGS,4,2020,Lucas Antonio de Almeida Torres,1,1,,,,,
CGS,4,2020,Cindy Hutnik,1,2,,,,,
CGS,4,2019,Vinay Kansal,1,1,,,,,
CGS,4,2019,Emily Mathieu,2,,,,,,
CGS,4,2019,Lucas Torres,1,1,,,,,
CGS,4,2018,Evan Michaelov,1,1,,,,,
CGS,4,2018,Emily Mathieu,2,,,,,,
CGS,4,2018,Simrenjeet Sandhu,1,1,,,,,
CGS,4,2018,Sunil Parapurum,2,1,,,,,
CGS,4,2017,Wendy Wang,4,2,,,,,
CGS,4,2017,Jayme Vianna,1,1,,,,,
CGS,4,2017,Shawn Cohen,1,1,,,,,
CGS,4,2016,Sarah Mullen,1,2,,,,,
CGS,4,2016,Angela Zhang,1,2,,,,,
CGS,4,2016,Yogesh Patodia,4,1,,,,,
CGS,4,2016,Jayme Vianna,1,1,,,,,
CGS,4,2015,Jeremy Murphy,1,1,,,,,
CGS,4,2015,Sourabh Arora,1,1,,,,,
CGS,4,2015,Tal Milman,4,1,,,,,
CGS,4,2015,Sera Thomas,5,2,,,,,
CGS,4,2014,Gary Yau,1,1,,,,,
CGS,4,2014,Kelsey Watson,4,2,,,,,
CGS,4,2014,Yiannis Lordanous,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2019,Dr. Asim Ali,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2018,Dr. Rajeev Muni,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2017,Dr. Ike Ahmed,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2016,Dr. Charles Pavlin,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2015,Dr. Myrna Lichter,1,2,,,,,
Eye physicians and surgeons of Ontario,2,2014,Dr. Michael Brent,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2013,Dr. Phil Hooper,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2012,Dr. Sanjay Sharma,1,1,,,,,
Eye physicians and surgeons of Ontario,2,2011,Dr. Orest Skrypuch,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2019,Dr. Patricia Teal,1,2,,,,,
Eye physicians and surgeons of Ontario,3,2019,Dr. David Smith,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2018,Dr. S. Joseph Weinstock,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2017,Dr. W. Bruce Jackson,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2016,Dr. Samuel Markowitz,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2015,Dr. Rand Simpson,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2014,Dr. William Dixon,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2013,Dr. Jeff Sher,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2012,Dr. Jeff Hurwitz,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2011,Dr. John Fowler,1,1,,,,,
Eye physicians and surgeons of Ontario,1,2017,Dr. John Fowler,1,1,,,,,
Eye physicians and surgeons of Ontario,3,2019,Dr. Kylen McReelis,1,1,,,,,
